time,04/01 (一),04/02 (二),04/03 (三),04/04 (四),04/05 (五),04/06 (六),04/07 (日),04/08 (一),04/09 (二),04/10 (三),04/11 (四),04/12 (五),04/13 (六),04/14 (日),04/15 (一),04/16 (二),04/17 (三),04/18 (四),04/19 (五),04/20 (六),04/21 (日),04/22 (一),04/23 (二),04/24 (三),04/25 (四),04/26 (五),04/27 (六),04/28 (日),04/29 (一),04/30 (二)
09:00,-6,6,2,X,X,X,X,-4,7,2,5,6,X,X,-5,5,2,6,6,X,X,-5,7,3,7,6,X,X,-5,7
09:30,-1,6,5,X,X,X,X,1,7,5,4,9,X,X,0,5,5,5,9,X,X,0,7,6,6,9,X,X,0,7
10:00,-2,5,3,X,X,X,X,0,6,3,5,4,X,X,-1,4,3,6,4,X,X,-1,6,4,7,4,X,X,-1,6
10:30,-1,4,3,X,X,X,X,1,5,3,4,6,X,X,0,3,3,5,6,X,X,0,5,4,6,6,X,X,0,5
11:00,-1,7,1,X,X,X,X,1,8,1,2,8,X,X,0,6,1,3,8,X,X,0,8,2,4,8,X,X,0,8
11:30,-6,0,0,X,X,X,X,-6,1,-1,0,0,X,X,-5,1,0,2,0,X,X,-5,1,0,2,0,X,X,-5,1
12:00,-6,0,0,X,X,X,X,-5,0,0,1,1,X,X,-5,0,0,4,2,X,X,-5,1,1,3,1,X,X,-6,1
12:30,0,1,1,X,X,X,X,-1,0,0,2,0,X,X,0,0,1,1,0,X,X,0,1,1,2,1,X,X,0,1
13:00,0,1,0,X,X,X,X,0,2,0,2,0,X,X,0,3,0,1,1,X,X,0,2,0,1,1,X,X,0,1
13:30,-2,2,1,X,X,X,X,-1,1,3,2,1,X,X,-3,1,1,3,1,X,X,-3,2,1,2,2,X,X,-1,2
14:00,3,6,2,X,X,X,X,2,4,2,4,6,X,X,2,3,2,4,4,X,X,2,5,1,5,7,X,X,5,6
14:30,3,6,3,X,X,X,X,3,5,3,6,5,X,X,3,5,3,6,5,X,X,3,6,2,6,7,X,X,4,6
15:00,5,8,6,X,X,X,X,5,7,6,7,7,X,X,5,7,6,7,7,X,X,5,8,5,7,9,X,X,6,8
15:30,8,6,6,X,X,X,X,8,5,6,6,5,X,X,8,5,6,6,5,X,X,8,6,5,6,7,X,X,9,6
16:00,6,9,7,X,X,X,X,6,8,7,9,6,X,X,6,8,7,9,6,X,X,6,9,6,9,8,X,X,7,9
16:30,-2,0,3,X,X,X,X,-2,0,2,0,4,X,X,-1,0,3,0,4,X,X,-1,0,1,0,6,X,X,-1,0
17:00,2,6,3,X,X,X,X,2,6,2,2,3,X,X,3,6,3,2,3,X,X,3,6,1,2,5,X,X,3,6
17:30,0,4,0,X,X,X,X,0,4,0,1,0,X,X,0,4,0,2,0,X,X,0,4,0,2,1,X,X,0,2
18:00,1,7,5,X,X,X,X,1,7,5,3,4,X,X,1,7,5,4,4,X,X,1,7,5,4,5,X,X,1,5
18:30,0,1,0,X,X,X,X,0,0,1,1,0,X,X,-1,0,0,1,0,X,X,-1,1,1,1,0,X,X,0,1
19:00,0,0,0,X,X,X,X,0,-1,1,0,0,X,X,-1,-1,0,0,0,X,X,-1,0,1,0,0,X,X,0,0
19:30,0,1,-2,X,X,X,X,0,0,-1,1,1,X,X,-1,0,-2,1,1,X,X,-1,1,-1,1,1,X,X,0,1
20:00,-1,1,-1,X,X,X,X,-1,0,0,1,0,X,X,-2,0,-1,1,0,X,X,-2,1,0,1,0,X,X,-1,1
20:30,0,2,0,X,X,X,X,0,1,1,2,0,X,X,-1,1,0,2,0,X,X,-1,2,1,2,0,X,X,0,2
